model,train_rows_used,validation_rows_scored,training_end_time,validation_start_time_scored,validation_end_time_scored,RMSE,MAE,MAPE,BIAS,MSE,MEAN_ACTUAL,MEAN_FORECAST
hinge_regression,262090,3760,2025-12-31 23:00:00,2026-01-01 00:00:00,2026-02-01 07:00:00,782.1008825614902,455.7738229339802,16.583277631593067,-206.17846570835704,611681.7905034617,9773.824555771182,9567.646090062824
linear,262090,3760,2025-12-31 23:00:00,2026-01-01 00:00:00,2026-02-01 07:00:00,824.7945568744882,562.8321458294683,105.0797503400861,-286.8413170807407,680286.0610497833,9773.824555771182,9486.98323869044
lstm,262090,3640,2025-12-31 23:00:00,2026-01-02 00:00:00,2026-02-01 07:00:00,1492.9465241741914,570.4761544926394,215.57686295759257,-42.54194133042396,2228889.324043799,9798.356933617746,9755.815
ridge,262090,3760,2025-12-31 23:00:00,2026-01-01 00:00:00,2026-02-01 07:00:00,824.1134695082632,562.1180753700588,104.78345366390649,-286.4945701562407,679163.0106249469,9773.824555771182,9487.32998561494
transformer,262090,3640,2025-12-31 23:00:00,2026-01-02 00:00:00,2026-02-01 07:00:00,597.2771336326629,379.9393162469628,29.7128555618298,-98.356674752946,356739.9743604498,9798.356933617746,9700.0
